CUTLIST
PROFILE,WORKORD,SALESORD,MARK,LENGTH,REQD,MADE,BUNDLE,PRIME_PART
001,C04X25,15835-5  , ,DH-1  4x2.5x16      ,222.000,2,2,1,
 ,FEED ,CODE ,Y-DIM,OFFSET, FEED, CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM,OFFSET, FEED, CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET,FEED ,CODE ,Y-DIM ,OFFSET
 ,-30.000 , 126 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,48.000 , 126 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,84.000 , 126 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,120.000 , 126 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,156.000 , 126 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
 ,0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 0.000 , 0 , 0.000 , 0.000 , 
