HEADER 1: ,Proudly Manufactured in the USA By:
LINE 1: ,TEXWIN CONSTRUCTION
HEADER 2: ,Address:
LINE 2: ,1501 Goodnight Blvd.
HEADER 3: ,Phone Number:
LINE 3: ,903-873-3545
HEADER 4: ,
LINE 4: ,
HEADER 5: ,
LINE 5: ,
HEADER 6: ,
LINE 6: ,
PROFILE NAME: ,
COIL ID: ,
GAUGE: ,#29
MATERIAL: ,STEEL
COLOR: ,l stone
ID,NAME,LENGTH,QTY,MADE,LEFT,BUNDLE
001,Ken Pendergrass- l stone,  7620mm,4,0,4,0
002,Ken Pendergrass- l stone,  6706mm,5,0,5,0
003,Ken Pendergrass- l stone,  4877mm,1,0,1,1
004, ,     0mm,0,0,0,0
005, ,     0mm,0,0,0,0
006, ,     0mm,0,0,0,0
007, ,     0mm,0,0,0,0
008, ,     0mm,0,0,0,0
009, ,     0mm,0,0,0,0
010, ,     0mm,0,0,0,0
011, ,     0mm,0,0,0,0
012, ,     0mm,0,0,0,0
013, ,     0mm,0,0,0,0
014, ,     0mm,0,0,0,0
015, ,     0mm,0,0,0,0
016, ,     0mm,0,0,0,0
017, ,     0mm,0,0,0,0
018, ,     0mm,0,0,0,0
019, ,     0mm,0,0,0,0
020, ,     0mm,0,0,0,0
021, ,     0mm,0,0,0,0
022, ,     0mm,0,0,0,0
023, ,     0mm,0,0,0,0
024, ,     0mm,0,0,0,0
025, ,     0mm,0,0,0,0
026, ,     0mm,0,0,0,0
027, ,     0mm,0,0,0,0
028, ,     0mm,0,0,0,0
029, ,     0mm,0,0,0,0
030, ,     0mm,0,0,0,0
031, ,     0mm,0,0,0,0
032, ,     0mm,0,0,0,0
033, ,     0mm,0,0,0,0
034, ,     0mm,0,0,0,0
035, ,     0mm,0,0,0,0
036, ,     0mm,0,0,0,0
037, ,     0mm,0,0,0,0
038, ,     0mm,0,0,0,0
039, ,     0mm,0,0,0,0
040, ,     0mm,0,0,0,0
041, ,     0mm,0,0,0,0
042, ,     0mm,0,0,0,0
043, ,     0mm,0,0,0,0
044, ,     0mm,0,0,0,0
045, ,     0mm,0,0,0,0
046, ,     0mm,0,0,0,0
047, ,     0mm,0,0,0,0
048, ,     0mm,0,0,0,0
049, ,     0mm,0,0,0,0
050, ,     0mm,0,0,0,0
051, ,     0mm,0,0,0,0
052, ,     0mm,0,0,0,0
053, ,     0mm,0,0,0,0
054, ,     0mm,0,0,0,0
055, ,     0mm,0,0,0,0
056, ,     0mm,0,0,0,0
057, ,     0mm,0,0,0,0
058, ,     0mm,0,0,0,0
059, ,     0mm,0,0,0,0
060, ,     0mm,0,0,0,0
061, ,     0mm,0,0,0,0
062, ,     0mm,0,0,0,0
063, ,     0mm,0,0,0,0
064, ,     0mm,0,0,0,0
065, ,     0mm,0,0,0,0
066, ,     0mm,0,0,0,0
067, ,     0mm,0,0,0,0
068, ,     0mm,0,0,0,0
069, ,     0mm,0,0,0,0
070, ,     0mm,0,0,0,0
071, ,     0mm,0,0,0,0
072, ,     0mm,0,0,0,0
073, ,     0mm,0,0,0,0
074, ,     0mm,0,0,0,0
075, ,     0mm,0,0,0,0
076, ,     0mm,0,0,0,0
077, ,     0mm,0,0,0,0
078, ,     0mm,0,0,0,0
079, ,     0mm,0,0,0,0
080, ,     0mm,0,0,0,0
081, ,     0mm,0,0,0,0
082, ,     0mm,0,0,0,0
083, ,     0mm,0,0,0,0
084, ,     0mm,0,0,0,0
085, ,     0mm,0,0,0,0
086, ,     0mm,0,0,0,0
087, ,     0mm,0,0,0,0
088, ,     0mm,0,0,0,0
089, ,     0mm,0,0,0,0
090, ,     0mm,0,0,0,0
091, ,     0mm,0,0,0,0
092, ,     0mm,0,0,0,0
093, ,     0mm,0,0,0,0
094, ,     0mm,0,0,0,0
095, ,     0mm,0,0,0,0
096, ,     0mm,0,0,0,0
097, ,     0mm,0,0,0,0
098, ,     0mm,0,0,0,0
099, ,     0mm,0,0,0,0
100, ,     0mm,0,0,0,0
